episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,2.613e+00,3.243e-05,-2.000e-01,-2.813e+00,3.243e-05,2.613e+00,-2.900e+00,-2.868e-01
2000,2000,20000,2.996e+00,8.729e-06,0.000e+00,-2.996e+00,8.729e-06,2.996e+00,-3.000e+00,-4.463e-03
3000,3000,30000,2.996e+00,4.040e-06,0.000e+00,-2.996e+00,4.040e-06,2.996e+00,-3.000e+00,-3.975e-03
4000,4000,40000,2.993e+00,1.872e-06,0.000e+00,-2.993e+00,1.872e-06,2.993e+00,-3.000e+00,-6.777e-03
5000,5000,50000,1.453e+00,4.458e-07,0.000e+00,-1.453e+00,4.458e-07,1.453e+00,-3.000e+00,-1.547e+00
6000,6000,60000,1.642e-01,1.638e-08,0.000e+00,-1.642e-01,1.638e-08,1.642e-01,-3.000e+00,-2.836e+00
7000,7000,70000,4.413e-02,1.070e-08,0.000e+00,-4.413e-02,1.070e-08,4.413e-02,-3.000e+00,-2.956e+00
8000,8000,80000,8.984e-03,0.000e+00,0.000e+00,-8.984e-03,0.000e+00,8.984e-03,-3.000e+00,-2.991e+00
9000,9000,90000,7.431e-03,0.000e+00,0.000e+00,-7.431e-03,0.000e+00,7.431e-03,-3.000e+00,-2.993e+00
10000,10000,100000,1.370e+00,0.000e+00,0.000e+00,-1.370e+00,0.000e+00,1.370e+00,-3.000e+00,-1.630e+00
11000,11000,110000,6.530e-01,0.000e+00,0.000e+00,-6.530e-01,0.000e+00,6.530e-01,-3.000e+00,-2.347e+00
12000,12000,120000,5.906e-01,0.000e+00,0.000e+00,-5.906e-01,0.000e+00,5.906e-01,-3.000e+00,-2.409e+00
13000,13000,130000,4.750e-01,0.000e+00,0.000e+00,-4.750e-01,0.000e+00,4.750e-01,-3.000e+00,-2.525e+00
14000,14000,140000,5.932e-01,0.000e+00,0.000e+00,-5.932e-01,0.000e+00,5.932e-01,-3.000e+00,-2.407e+00
15000,15000,150000,5.951e-01,0.000e+00,0.000e+00,-5.951e-01,0.000e+00,5.951e-01,-3.000e+00,-2.405e+00
16000,16000,160000,7.261e-01,0.000e+00,-2.800e-01,-1.006e+00,0.000e+00,7.261e-01,-2.860e+00,-2.134e+00
17000,17000,170000,6.885e-01,0.000e+00,0.000e+00,-6.885e-01,0.000e+00,6.885e-01,-3.000e+00,-2.311e+00
18000,18000,180000,6.151e-01,0.000e+00,-1.600e-01,-7.751e-01,0.000e+00,6.151e-01,-2.920e+00,-2.305e+00
19000,19000,190000,2.950e+00,0.000e+00,0.000e+00,-2.950e+00,0.000e+00,2.950e+00,-3.000e+00,-5.019e-02
20000,20000,200000,6.183e-01,0.000e+00,-4.000e-02,-6.583e-01,0.000e+00,6.183e-01,-2.980e+00,-2.362e+00
21000,21000,210000,6.058e-01,0.000e+00,0.000e+00,-6.058e-01,0.000e+00,6.058e-01,-3.000e+00,-2.394e+00
22000,22000,220000,6.025e-01,0.000e+00,0.000e+00,-6.025e-01,0.000e+00,6.025e-01,-3.000e+00,-2.397e+00
23000,23000,230000,6.010e-01,0.000e+00,0.000e+00,-6.010e-01,0.000e+00,6.010e-01,-3.000e+00,-2.399e+00
24000,24000,240000,2.996e+00,0.000e+00,0.000e+00,-2.996e+00,0.000e+00,2.996e+00,-3.000e+00,-3.609e-03
25000,25000,250000,2.991e+00,0.000e+00,0.000e+00,-2.991e+00,0.000e+00,2.991e+00,-3.000e+00,-8.508e-03
26000,26000,260000,6.281e-01,0.000e+00,0.000e+00,-6.281e-01,0.000e+00,6.281e-01,-3.000e+00,-2.372e+00
27000,27000,270000,1.403e-01,0.000e+00,0.000e+00,-1.403e-01,0.000e+00,1.403e-01,-3.000e+00,-2.860e+00
28000,28000,280000,1.611e-01,0.000e+00,0.000e+00,-1.611e-01,0.000e+00,1.611e-01,-3.000e+00,-2.839e+00
29000,29000,290000,1.067e-02,0.000e+00,0.000e+00,-1.067e-02,0.000e+00,1.067e-02,-3.000e+00,-2.989e+00
30000,30000,300000,9.137e-03,0.000e+00,0.000e+00,-9.137e-03,0.000e+00,9.137e-03,-3.000e+00,-2.991e+00
