episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,2.613e+00,3.243e-05,-2.000e-01,-2.813e+00,3.243e-05,2.613e+00,-2.900e+00,-2.868e-01
2000,2000,20000,2.996e+00,8.729e-06,0.000e+00,-2.996e+00,8.729e-06,2.996e+00,-3.000e+00,-4.463e-03
3000,3000,30000,2.996e+00,4.040e-06,0.000e+00,-2.996e+00,4.040e-06,2.996e+00,-3.000e+00,-3.975e-03
4000,4000,40000,2.993e+00,1.872e-06,0.000e+00,-2.993e+00,1.872e-06,2.993e+00,-3.000e+00,-6.777e-03
5000,5000,50000,1.453e+00,4.458e-07,0.000e+00,-1.453e+00,4.458e-07,1.453e+00,-3.000e+00,-1.547e+00
6000,6000,60000,1.642e-01,1.638e-08,0.000e+00,-1.642e-01,1.638e-08,1.642e-01,-3.000e+00,-2.836e+00
7000,7000,70000,4.413e-02,1.070e-08,0.000e+00,-4.413e-02,1.070e-08,4.413e-02,-3.000e+00,-2.956e+00
8000,8000,80000,8.984e-03,0.000e+00,0.000e+00,-8.984e-03,0.000e+00,8.984e-03,-3.000e+00,-2.991e+00
9000,9000,90000,7.431e-03,0.000e+00,0.000e+00,-7.431e-03,0.000e+00,7.431e-03,-3.000e+00,-2.993e+00
10000,10000,100000,1.371e+00,0.000e+00,0.000e+00,-1.371e+00,0.000e+00,1.371e+00,-3.000e+00,-1.629e+00
11000,11000,110000,6.530e-01,0.000e+00,0.000e+00,-6.530e-01,0.000e+00,6.530e-01,-3.000e+00,-2.347e+00
12000,12000,120000,5.906e-01,0.000e+00,0.000e+00,-5.906e-01,0.000e+00,5.906e-01,-3.000e+00,-2.409e+00
13000,13000,130000,4.724e-01,0.000e+00,0.000e+00,-4.724e-01,0.000e+00,4.724e-01,-3.000e+00,-2.528e+00
14000,14000,140000,5.913e-01,0.000e+00,0.000e+00,-5.913e-01,0.000e+00,5.913e-01,-3.000e+00,-2.409e+00
15000,15000,150000,5.953e-01,0.000e+00,0.000e+00,-5.953e-01,0.000e+00,5.953e-01,-3.000e+00,-2.405e+00
16000,16000,160000,2.794e+00,0.000e+00,-8.000e-02,-2.874e+00,0.000e+00,2.794e+00,-2.960e+00,-1.656e-01
17000,17000,170000,6.352e-01,0.000e+00,0.000e+00,-6.352e-01,0.000e+00,6.352e-01,-3.000e+00,-2.365e+00
18000,18000,180000,2.436e+00,0.000e+00,-2.000e-01,-2.636e+00,0.000e+00,2.436e+00,-2.900e+00,-4.640e-01
19000,19000,190000,6.473e-01,0.000e+00,0.000e+00,-6.473e-01,0.000e+00,6.473e-01,-3.000e+00,-2.353e+00
20000,20000,200000,6.100e-01,0.000e+00,-4.000e-02,-6.500e-01,0.000e+00,6.100e-01,-2.980e+00,-2.370e+00
